actor,timestamp,verb,xml,scenario,level,success,score
A5A6EC6D,2023-09-18T13:35:21.0950000Z,launched,levels/tutoriel/tutoriel.xml,0 - tutoriel,[fr]tutoriel[/fr][en]tutorial[/en],,
A5A6EC6D,2023-09-18T13:37:06.8340000Z,completed,,,,True,10500
A5A6EC6D,2023-09-18T13:37:14.5050000Z,exited,levels/tutoriel/tutoriel.xml,,,,
A5A6EC6D,2023-09-18T13:37:20.4190000Z,launched,levels/explorateur/niveau01.xml,1 - explorateur,[fr]niveau01[/fr][en]level01[/en],,
A5A6EC6D,2023-09-18T13:37:33.1770000Z,completed,,,,True,15500
A5A6EC6D,2023-09-18T13:37:38.9380000Z,exited,levels/explorateur/niveau01.xml,,,,
A5A6EC6D,2023-09-18T13:37:39.1240000Z,launched,levels/explorateur/niveau02.xml,1 - explorateur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-18T13:38:41.0410000Z,completed,,,,True,12999
A5A6EC6D,2023-09-18T13:38:42.0170000Z,exited,levels/explorateur/niveau02.xml,,,,
A5A6EC6D,2023-09-18T13:38:42.2040000Z,launched,levels/explorateur/niveau03.xml,1 - explorateur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-18T13:39:15.3230000Z,completed,,,,True,11750
A5A6EC6D,2023-09-18T13:39:16.3980000Z,exited,levels/explorateur/niveau03.xml,,,,
A5A6EC6D,2023-09-18T13:39:16.5940000Z,launched,levels/explorateur/niveau04.xml,1 - explorateur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-18T13:39:46.4030000Z,completed,,,,True,10499
A5A6EC6D,2023-09-18T13:39:47.9470000Z,exited,levels/explorateur/niveau04.xml,,,,
A5A6EC6D,2023-09-18T13:39:48.1410000Z,launched,levels/explorateur/niveau05.xml,1 - explorateur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-18T13:40:48.9290000Z,completed,,,,True,9875
A5A6EC6D,2023-09-18T13:40:49.8100000Z,exited,levels/explorateur/niveau05.xml,,,,
A5A6EC6D,2023-09-18T13:40:50.0530000Z,launched,levels/tutoriel/ouvrirporte.xml,1 - explorateur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-18T13:41:20.6000000Z,completed,,,,True,5499
A5A6EC6D,2023-09-18T13:41:25.4410000Z,exited,levels/tutoriel/ouvrirporte.xml,,,,
A5A6EC6D,2023-09-18T13:41:25.6670000Z,launched,levels/explorateur/niveau06.xml,1 - explorateur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-18T13:42:27.8540000Z,completed,,,,True,9249
A5A6EC6D,2023-09-18T13:42:29.7030000Z,exited,levels/explorateur/niveau06.xml,,,,
A5A6EC6D,2023-09-18T13:42:29.9380000Z,launched,levels/explorateur/niveau07.xml,1 - explorateur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-18T13:43:10.7340000Z,completed,,,,True,9153
A5A6EC6D,2023-09-18T13:43:11.6180000Z,exited,levels/explorateur/niveau07.xml,,,,
A5A6EC6D,2023-09-18T13:43:11.8890000Z,launched,levels/explorateur/niveau08.xml,1 - explorateur,[fr]niveau09[/fr][en]level09[/en],,
A5A6EC6D,2023-09-18T13:44:37.1950000Z,completed,,,,True,8882
